Slovoforma,lemma,part_of_speech,letters_in_slovoforma,slogi_slovoforma,rang_frequency_NKRIA,IA_DWELL_TIME_%,IA_AVERAGE_FIX_PUPIL_SIZE,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_FIXATION_%,IA_REGRESSION_IN,IA_REGRESSION_OUT,IA_REGRESSION_PATH_DURATION,TRIAL_FIXATION_COUNT,sex,grade
другая,другой,A,6,3,5,0.008,1068,332,13318,1,0.0091,0,0,332,110,f,1
цветов,цветы,S,6,2,4,0.0181,1538.5,138,4852,1,0.026,0,0,334,77,m,3
того,то,P,4,2,5,0.0139,1467.5,150,16440,0,0.0196,0,0,334,102,f,3
вспомнил,вспомнить,V,8,2,5,0.034,1037,196,284,0,0.0278,1,0,330,36,f,2
сел,садиться,V,3,1,4,0.0084,1012,334,1826,0,0.0063,0,0,334,158,m,1
детей,ребенок,S,5,2,4,0.013,906,334,10214,0,0.0097,0,0,334,103,f,3
увидала,увидать,V,7,3,3,0.0088,1311,334,12874,1,0.0072,0,0,334,139,f,1
себе,себя,P,4,2,5,0.0088,1256,334,20280,0,0.0072,0,0,334,139,f,1
августе,август,S,7,3,4,0.0207,2367,334,11384,1,0.0137,0,0,334,73,m,3
она,она,P,3,2,5,0.0174,1198,334,9590,0,0.0141,0,0,334,71,f,2
своё,свой,P,4,2,5,0.0085,1501.5,104,34118,0,0.0129,0,0,336,155,f,1
хозяйстве,хозяйство,S,9,3,4,0.0164,1226,336,15720,0,0.0135,0,0,336,74,f,3
затем,затем,CON,5,2,5,0.0219,557,336,10534,1,0.0161,0,0,336,62,f,2
своё,свой,P,4,2,5,0.01,1371,336,24580,1,0.0119,0,0,336,84,m,1
жук,жук,S,3,1,3,0.0287,969,336,2576,0,0.0238,0,0,336,42,f,2
управляют,управлять,V,9,4,3,0.0326,900,336,5584,0,0.025,1,0,336,40,f,2
через,через,PR,5,2,5,0.0097,1420,336,3636,0,0.0092,0,0,336,109,m,2
лед,S,5,1,476,3,0.0139,1364,336,4872,0,0.0098,0,0,336,102,f,3
собака,собака,S,6,3,5,0.0162,1212,336,8558,0,0.0132,1,0,336,76,m,1
что,что,CON,3,1,5,0.0053,1048,336,25998,0,0.0054,0,0,336,186,f,1
астры,астра,S,5,4,2,0.0158,1415,140,18812,1,0.0247,0,0,338,81,m,1
разве,разве,PART,5,2,4,0.018,2166,338,11080,0,0.0123,0,0,338,81,m,3
себе,себя,P,4,2,5,0.0158,1471,338,11174,0,0.0137,0,0,338,73,m,1
появились,появиться,V,9,4,5,0.0183,1301,338,11218,1,0.013,0,0,338,77,m,3
весной,весна,ADV,6,2,5,0.0085,1749,338,1720,0,0.007,1,0,338,143,f,1
она,она,P,3,1,5,0.0166,850,177,95,1,0.0115,0,1,14347,87,f,3
городских,городской,A,9,3,4,0.0213,1466.33,122,104,1,0.012,0,1,10486,83,f,3
трактор,трактор,S,7,2,3,0.017,1781.5,146,4402,0,0.0222,0,0,340,90,m,3
горшок,горшок,S,6,2,2,0.0136,1380,196,2092,0,0.0174,0,0,340,115,m,1
жук,жук,S,3,1,3,0.0212,1187,208,4420,1,0.0299,0,0,340,67,f,1
холодно,холодно,ADV,7,3,5,0.0081,1580.5,220,41480,1,0.0118,0,0,340,169,f,1
спит,спать,V,4,1,4,0.0133,1961,340,16804,1,0.0105,0,0,340,95,f,2
жук,жук,S,3,1,3,0.0175,1289,340,4678,0,0.0139,0,0,340,72,f,1
мышку,мышка,S,5,2,3,0.0235,1425,340,12858,1,0.0159,0,0,340,63,f,3
собака,собака,S,6,3,5,0.0177,938,340,8280,0,0.0141,0,0,340,71,f,2
мяса,мясо,S,4,2,4,0.0177,918,340,15856,0,0.0141,1,0,340,71,f,2
августе,август,S,7,3,4,0.0089,1765.5,118,32192,1,0.0074,0,1,822,135,f,1
другая,другой,A,6,3,5,0.0127,1265,124,12296,0,0.0177,0,0,342,113,f,1
лед,S,5,1,476,3,0.0189,1010.5,182,5078,0,0.0143,0,0,572,70,f,3
похуже,плохо,ADV,6,3,2,0.0086,961,184,7460,0,0.0127,0,0,946,158,m,1
бросила,бросать,V,7,3,4,0.0147,933.5,188,12800,0,0.0187,0,0,342,107,m,2
затем,затем,CON,5,2,5,0.0199,1041,228,13768,0,0.026,0,0,342,77,f,2
все,все,P,3,1,5,0.0065,1141,342,23566,0,0.0058,0,0,342,171,f,1
гоняет,гонять,V,6,3,1,0.0165,1366.5,142,23358,1,0.0222,0,0,344,90,m,3
горшок,горшок,S,6,2,2,0.0069,1388,344,4904,0,0.0065,0,0,344,154,m,2
мясо,мясо,S,4,2,4,0.0182,2210,344,4184,0,0.0128,0,0,344,78,f,3
реку,река,S,4,2,4,0.0179,1224,344,3168,0,0.0127,0,0,344,79,f,1
себе,себя,P,4,2,5,0.0225,681.5,118,7674,0,0.0161,0,0,778,62,f,2
вовсе,вовсе,ADV,5,2,5,0.0247,1032.5,152,88,1,0.0192,1,1,9674,52,f,2
сиди,сидеть,V,4,2,3,0.0135,933.5,166,16764,0,0.0194,0,0,346,103,f,3
компьютер,компьютер,S,9,3,4,0.0239,1632.5,172,3964,0,0.0159,0,0,958,63,f,3
детей,ребенок,S,5,2,4,0.0104,855.5,176,18018,0,0.0145,0,0,346,138,m,2
ребята,ребята,S,6,3,5,0.0209,940.5,184,10950,1,0.0303,0,0,346,66,f,3
ешь,есть,V,3,1,3,0.0093,1035,346,24226,0,0.0078,0,0,346,128,f,2
может,может,PART,5,2,4,0.0166,1368,346,17728,0,0.0111,0,0,346,90,m,3
кинулась,кинуться,V,8,3,3,0.0248,1148,346,9366,0,0.0154,0,0,346,65,f,3
девочки,девочка,S,7,3,5,0.022,604.5,110,408,1,0.0161,0,1,730,62,f,2
мяса,мясо,S,4,2,4,0.0144,1387,194,16822,0,0.0196,0,0,348,102,f,3
она,она,P,3,2,5,0.008,1542,348,22302,0,0.009,0,0,348,111,m,1
августе,август,S,7,3,4,0.0119,1400.5,144,21574,1,0.0198,0,0,350,101,f,3
мясо,мясо,S,4,2,4,0.0251,1339,184,7366,0,0.0154,1,0,184,65,f,3
цветов,цветы,S,6,2,4,0.0158,1809.5,190,4662,0,0.0222,0,0,350,90,f,2
называют,называть,V,8,3,5,0.0194,1013,350,1350,0,0.0143,0,0,350,70,f,3
семена,семена,S,6,3,4,0.0088,1332,350,5062,0,0.007,0,0,350,143,f,1
мяса,мясо,S,4,2,4,0.0084,1125,350,27246,1,0.0091,0,0,350,110,f,1
расцвели,расцвести,V,8,3,2,0.0218,2567.5,122,11824,1,0.0274,0,0,352,73,m,3
сиди,сидеть,V,4,2,3,0.0141,1200,148,16784,1,0.0174,0,1,492,115,m,1
может,может,PART,5,2,4,0.0092,1927,150,26432,1,0.0148,0,0,352,135,f,2
горшок,горшок,S,6,2,2,0.012,1117.5,226,2150,0,0.0175,0,0,352,114,m,1
зимой,зима,ADV,5,2,5,0.0165,1441,352,19878,1,0.0137,0,0,352,73,m,1
называется,называться,V,10,5,5,0.0152,1435,352,19488,1,0.0127,0,0,352,79,m,2
детей,ребенок,S,5,2,4,0.0092,1316.5,144,22140,0,0.0138,0,0,354,145,m,3
летом,летом,ADV,5,2,5,0.0224,652.5,172,3582,1,0.0161,0,1,3996,62,f,2
было,быть,V,4,2,5,0.0067,1543.5,172,45754,1,0.0102,0,0,354,197,f,1
зубах,зуб,S,5,2,4,0.0075,608.5,176,11512,0,0.0108,0,0,354,185,f,1
другая,другой,A,6,3,5,0.0253,1183,214,6508,0,0.0308,0,0,354,65,f,3
летом,лето,ADV,5,2,5,0.0166,1436,354,20254,1,0.0137,0,1,630,73,m,1
когда,когда,ADV,5,2,5,0.0139,1129,354,4002,0,0.0116,0,0,354,86,m,2
человек,человек,S,7,3,5,0.0345,1275,130,332,0,0.05,1,0,356,40,f,2
мясо,мясо,S,4,2,4,0.0185,1401.5,170,12008,0,0.0253,0,0,356,79,f,1
сел,садиться,V,3,1,4,0.0092,1439,356,2346,0,0.0069,0,0,356,145,m,3
сел,садиться,V,3,1,4,0.0143,1092,356,972,0,0.0087,0,0,356,115,m,1
так,так,P,3,1,5,0.025,1257,356,11030,0,0.0161,1,0,356,62,m,1
посадили,посадить,V,8,4,4,0.0212,1093,356,3870,0,0.0132,0,0,356,76,f,2
реку,река,S,4,2,4,0.0086,1242,356,6370,0,0.0091,0,0,356,110,f,1
себе,себя,P,4,2,5,0.0198,960,138,8656,0,0.0143,0,0,746,70,f,3
путешествие,путешествие,S,11,5,4,0.0195,869.5,148,14468,1,0.0256,0,0,358,78,f,3
трещат,трещать,V,6,2,2,0.0184,1282,154,1820,0,0.0278,1,0,358,72,f,1
путешествие,путешествие,S,11,5,4,0.0169,1107.5,168,16718,1,0.0256,0,0,358,78,m,1
путешествие,путешествие,S,11,5,4,0.0194,1525,184,14888,1,0.025,0,0,358,80,m,3
мальчики,мальчик,S,8,3,4,0.0095,1349.5,184,6658,0,0.0155,0,0,358,129,m,1
освоил,осваивать,V,6,3,1,0.024,1033,186,13380,1,0.0172,0,1,752,58,f,2
себе,себя,P,4,2,5,0.0085,1409,192,21130,0,0.0118,0,0,358,169,f,1
трактор,трактор,S,7,2,3,0.0175,1295.5,202,4920,0,0.027,0,0,358,74,f,3
трактор,трактор,S,7,2,3,0.0076,1356,206,14648,0,0.0116,0,0,358,172,f,1
помощью,помощь,S,7,3,5,0.0313,2158.5,216,5464,0,0.0227,0,0,530,44,f,3
трактор,трактор,S,7,2,3,0.0175,1030,248,3708,0,0.0135,1,0,248,74,f,3
пищат,пищать,V,5,2,2,0.0362,1090,358,5878,0,0.0312,1,0,358,32,f,2
белые,белый,A,5,3,5,0.0168,1564,358,21736,1,0.0123,0,0,358,81,m,1
собаки,собака,S,6,3,5,0.0134,1304,358,16566,0,0.011,0,0,358,91,f,2
через,через,PR,5,2,5,0.019,2282,358,1994,0,0.0128,0,0,358,78,f,3
разве,разве,PART,5,2,4,0.0097,1089.33,140,17780,0,0.0059,1,0,140,170,f,1
народ,народ,S,5,2,5,0.019,1090.5,146,2664,0,0.022,0,0,360,91,f,2
одно,один,NUM,4,2,5,0.0142,1097,170,7880,0,0.0233,0,0,360,86,m,2
семена,семена,S,6,3,4,0.0228,671,176,1836,1,0.0323,0,0,360,62,f,2
белые,белый,A,5,3,5,0.0223,2408,360,16244,0,0.0137,1,0,360,73,m,3
молодые,молодой,A,7,4,5,0.0189,1189,360,10080,1,0.0141,0,0,360,71,m,1
воде,вода,S,4,2,5,0.0134,1164,360,10496,0,0.0088,0,0,360,113,f,1
вовсе,вовсе,ADV,5,2,5,0.0258,1441,151,95,1,0.0154,0,1,10003,65,f,3
устройств,устройство,S,9,2,3,0.025,1676.5,108,290,0,0.0159,1,0,5504,63,f,3
лед,S,5,1,476,3,0.0196,1596,124,5140,0,0.0125,0,0,532,80,m,3
увидала,увидать,V,7,3,3,0.0259,1305,170,4106,0,0.0308,0,0,362,65,f,3
белая,белый,A,5,3,4,0.0086,1434,198,45652,1,0.0118,0,0,683,169,f,1
себя,себя,P,4,2,5,0.0188,1081.5,206,5920,0,0.0282,0,0,362,71,f,2
называют,называть,V,8,3,5,0.0171,1116.5,208,1522,0,0.0256,0,0,362,78,m,1
ухаживали,ухаживать,V,9,5,3,0.0218,943.5,210,11342,1,0.0303,0,0,362,66,f,3
собака,собака,S,6,3,5,0.0192,2512.5,226,19886,1,0.0256,0,0,362,78,f,3
горшок,горшок,S,6,2,2,0.009,1428,362,2840,0,0.0069,0,0,362,145,f,3
чутко,чутко,ADV,5,2,3,0.0235,640,362,8910,0,0.0161,0,0,362,62,f,2
чутко,чутко,ADV,5,2,3,0.021,1127,362,11402,0,0.013,0,0,362,77,f,2
затем,затем,CON,5,2,5,0.0276,1460,362,9734,0,0.0159,0,0,362,63,f,3
летом,лето,ADV,5,2,5,0.0104,1184,362,33248,1,0.008,0,0,362,125,f,1
себя,себя,P,4,2,5,0.0258,1096,362,4024,0,0.0192,0,0,362,52,f,2
чем,что,CON,3,1,5,0.0066,1019,363,59032,1,0.006,0,0,363,168,f,1
разве,разве,PART,5,2,4,0.0183,1071.5,170,9266,0,0.0227,0,0,364,88,f,2
может,может,PART,5,2,4,0.0109,851.5,196,28030,1,0.0145,0,0,364,138,m,2
бросила,бросать,V,7,3,4,0.0113,1602.5,204,11870,0,0.0167,0,0,364,120,f,3
освоил,осваивать,V,6,3,1,0.0062,1131,364,42556,0,0.0056,1,0,632,179,f,1
называют,называть,V,8,3,5,0.0278,1331,364,970,0,0.0159,0,0,364,63,f,3
золотая,золотой,A,7,3,4,0.0368,1108,364,7084,1,0.0312,0,0,364,32,f,2
пищат,пищать,V,5,2,2,0.031,927,364,6176,1,0.0238,0,0,364,42,f,2
расцвели,расцвести,V,8,3,2,0.0097,1069,364,28160,1,0.0078,0,0,364,129,m,1
себя,себя,P,4,2,5,0.0261,1170,364,4814,0,0.0154,0,0,364,65,f,3
что,что,CON,3,1,5,0.0087,1145,364,12672,1,0.0091,0,0,364,110,f,1
воспитание,воспитание,S,10,4,3,0.0147,1408,138,100,1,0.0087,0,1,13696,115,m,1
дикие,дикий,A,5,2,4,0.016,1532.5,152,6776,0,0.0127,1,0,152,79,f,3
разве,разве,PART,5,2,4,0.0176,1608,366,11266,0,0.0111,0,0,366,90,m,3
льдам,лед,S,5,2,1,0.0222,2001,366,13994,1,0.0156,0,0,366,64,m,3
белого,белый,A,6,3,4,0.0096,1086,366,6134,0,0.0072,0,0,366,139,f,1
молодые,молодой,A,7,4,5,0.0232,677,366,9410,1,0.0161,0,0,366,62,f,2
девочки,девочка,S,7,3,5,0.0192,1252,366,1232,0,0.0141,0,0,366,71,m,1
живёт,жить,V,5,2,5,0.0239,667.5,108,3288,0,0.0323,0,0,368,62,f,2
ребята,ребята,S,6,3,5,0.022,986,160,10946,1,0.0263,0,0,368,76,f,2
делает,делать,V,6,3,5,0.019,1374,368,9036,0,0.0152,1,0,368,66,f,3
собака,собака,S,6,3,5,0.0265,1334.5,160,6956,0,0.0308,0,0,370,65,f,3
возмущала,возмущать,V,9,4,1,0.0156,2392.5,172,8728,0,0.0108,1,0,172,93,f,3
собака,собака,S,6,3,5,0.0085,1626,186,18748,0,0.018,0,0,370,111,m,1
несёт,нести,V,5,2,4,0.0265,1342.5,190,7574,0,0.0154,0,0,536,65,f,3
бросила,бросать,V,7,3,4,0.0178,1226,190,10250,0,0.0263,0,0,370,76,m,1
воде,вода,S,4,2,5,0.0196,2098,198,6802,0,0.0256,0,0,370,78,f,3
зубах,зуб,S,5,2,4,0.0265,1189.5,208,2582,0,0.0308,0,0,488,65,f,3
тундру,тундра,S,6,2,2,0.0282,1474,232,2198,0,0.0159,0,0,3906,63,f,3
щёки,щека,S,4,2,3,0.0219,597,370,3554,0,0.0149,1,0,370,67,f,2
умка,умка,S,4,2,1,0.0108,1530,370,6930,0,0.0079,0,0,370,127,f,3
одно,один,NUM,4,2,5,0.0174,1211,370,7550,0,0.0133,0,0,370,75,m,1
севера,север,S,6,2,4,0.0202,1329,210,1038,0,0.025,0,0,372,80,m,3
шуба,шуба,S,4,2,3,0.0097,1300,266,41368,1,0.0144,0,0,372,139,f,1
щёку,щека,S,4,2,3,0.0178,1117,372,3294,1,0.0116,0,0,372,86,f,3
человек,человек,S,7,3,5,0.0265,949,110,414,0,0.0278,1,0,374,72,m,2
августе,август,S,7,3,4,0.0271,1390,116,12398,1,0.0294,0,0,374,68,f,3
цветов,цветы,S,6,2,4,0.0223,1144.5,136,2894,0,0.0263,0,0,374,76,f,2
десятков,десяток,S,8,3,4,0.006,1018,160,25410,0,0.0099,1,0,374,203,m,2
воспитывают,воспитывать,V,11,5,1,0.018,1579.5,218,11912,0,0.0222,0,0,374,90,m,3
щёки,щека,S,4,2,3,0.0146,930.5,226,3058,0,0.0194,0,0,374,103,f,3
так,так,ADV,3,1,5,0.0142,1577,226,2112,0,0.019,0,0,374,105,m,1
спит,спать,V,4,1,4,0.0243,555.5,232,10038,1,0.0323,0,0,374,62,f,2
тёплая,теплый,A,6,3,4,0.0176,1362.5,124,21894,1,0.0274,0,0,376,73,m,1
там,там,P,3,1,5,0.0116,1471,164,8672,0,0.0167,0,0,376,120,f,3
льдам,лед,S,5,2,1,0.0094,1273,174,36646,0,0.0069,0,0,512,145,f,2
трактор,трактор,S,7,2,3,0.0211,2405,198,2818,0,0.025,0,0,1802,80,m,3
несёт,нести,V,5,2,4,0.0199,2308,216,10038,0,0.0256,0,0,376,78,f,3
чутко,чутко,ADV,5,2,3,0.0208,1006,376,9786,0,0.0143,0,0,376,70,f,3
зимой,зима,ADV,5,2,5,0.0208,983,376,16418,1,0.0143,0,0,376,70,f,3
умке,умке,S,4,2,1,0.0218,1040,376,16700,1,0.013,0,0,376,77,f,2
рябчики,рябчик,S,7,2,2,0.0321,913,376,6566,1,0.0238,0,0,376,42,f,2
поют,петь,V,4,2,4,0.0297,1905,150,10120,1,0.037,0,0,378,54,f,3
кинулась,кинуться,V,8,3,3,0.0182,1212,170,11230,0,0.0263,0,0,378,76,m,1
шуба,шуба,S,4,2,3,0.009,1716,378,45644,1,0.0069,0,0,378,145,f,1
рябчики,рябчик,S,7,2,2,0.1204,946,378,3258,1,0.0833,0,0,378,12,f,2
делает,делать,V,6,3,5,0.0207,969.5,126,8384,0,0.0256,0,0,380,78,f,3
своё,свой,P,4,2,5,0.0231,2285.5,148,12034,1,0.0156,0,1,726,64,m,3
тёплая,теплый,A,6,3,4,0.0095,1240.5,192,42004,1,0.0138,0,0,380,145,f,2
ребенок,ребенок,S,7,3,4,0.013,1117,252,20558,1,0.0175,0,0,380,114,m,1
вспомнил,вспомнить,V,8,2,5,0.0152,797,380,958,0,0.0119,0,0,380,84,f,2
было,быть,V,4,2,5,0.0272,1404,380,11914,1,0.0154,0,0,380,65,f,3
собака,собака,S,6,3,5,0.0183,1215,380,448,0,0.0132,1,0,380,76,m,1
живёт,жить,V,5,2,5,0.0091,1376,134,502,0,0.0059,1,0,5594,169,f,1
чутко,чутко,ADV,5,2,3,0.0056,1149,152,41364,0,0.0047,0,0,700,214,m,1
так,так,P,3,1,5,0.0139,715,160,17960,1,0.0211,0,0,382,95,f,2
медведя,медведь,S,7,3,4,0.0109,1131,202,5024,0,0.016,0,0,382,125,f,1
может,может,PART,5,2,4,0.0094,1396.5,222,29714,1,0.0058,0,1,454,172,f,1
собака,собака,S,6,3,5,0.0158,1552,252,25194,1,0.0196,0,0,382,102,f,3
весной,весна,ADV,6,2,5,0.0242,589,382,542,0,0.0161,1,0,382,62,f,2
там,там,P,3,1,5,0.0075,1417,382,20228,0,0.006,0,0,382,168,m,1
льдам,лед,S,5,2,1,0.0209,829,130,15084,1,0.0256,0,1,510,78,f,3
сломанный,сломать,VP,9,3,1,0.0149,924,168,1248,0,0.0194,0,0,384,103,f,3
площадках,площадка,S,9,3,3,0.0169,991.5,178,13038,1,0.022,0,0,384,91,f,3
мышку,мышка,S,5,2,3,0.0165,1282.5,192,22392,1,0.0253,0,0,384,79,m,2
медведя,медведь,S,7,3,4,0.018,1538.5,218,3698,0,0.0274,0,0,384,73,m,1
ребята,ребята,S,6,3,5,0.0243,621.5,222,10366,1,0.0323,0,0,384,62,f,2
своё,свой,P,4,2,5,0.0103,1025.5,234,30216,1,0.0154,0,0,384,130,f,2
волною,волна,S,6,3,2,0.0185,1210.5,248,17338,1,0.0132,0,1,1818,76,m,1
девочки,девочка,S,7,3,5,0.018,1286,384,1310,0,0.0123,0,0,384,81,m,1
собака,собака,S,6,3,5,0.0092,1371,384,42654,1,0.0091,0,0,384,110,f,1
умка,умка,S,4,2,1,0.021,908.5,168,4588,0,0.0128,0,0,684,78,f,3
было,быть,V,4,2,5,0.0081,657.5,168,37766,1,0.0108,0,1,674,185,f,1
шла,идти,V,3,1,5,0.02,1134,192,1094,0,0.0127,0,0,604,79,f,1
белая,белый,A,5,3,4,0.021,897.5,210,19286,1,0.0256,0,0,386,78,f,3
буратино,буратино,S,8,4,2,0.0259,836,222,302,0,0.0345,1,0,386,58,f,2
берлогу,берлога,S,7,3,2,0.021,951.5,234,9354,0,0.0256,0,0,386,78,f,3
затем,затем,CON,5,2,5,0.0076,984,256,32736,0,0.0053,1,0,386,188,m,1
называется,называться,V,10,5,5,0.0337,1848,386,8322,1,0.0227,0,0,386,44,f,3
так,так,P,3,1,5,0.008,1304,386,28192,0,0.0078,1,0,386,129,m,1
луковицы,луковица,S,8,4,2,0.0245,626,386,3770,0,0.0161,1,0,386,62,f,2
той,тот,P,3,1,5,0.0082,820,386,32046,0,0.0062,0,0,386,162,f,2
мясо,мясо,S,4,2,4,0.0093,1197,386,8888,0,0.0091,0,0,386,110,f,1
собака,собака,S,6,3,5,0.0145,1272,166,12898,0,0.0177,0,0,388,113,f,1
несёт,нести,V,5,2,4,0.0082,736,166,21676,0,0.0108,0,0,388,185,f,1
сломанный,сломать,VP,9,3,1,0.0157,1087.5,222,2024,0,0.0196,0,0,388,102,f,3
белая,белый,A,5,3,4,0.0114,1421.5,238,38984,1,0.0079,1,0,238,127,f,3
своё,свое,A,4,2,5,0.0202,1498,238,18726,1,0.0253,0,0,388,79,f,1
тёплая,теплый,A,6,3,4,0.0211,1395.5,244,18764,1,0.025,0,0,388,80,m,3
делает,делать,V,6,3,5,0.0215,944,388,8818,0,0.0143,1,0,388,70,f,3
той,тот,P,3,1,5,0.0206,2449,388,13890,0,0.0128,0,0,646,78,f,3
мясо,мясо,S,4,2,4,0.0161,1384,388,5270,0,0.0098,0,0,388,102,f,3
она,она,P,3,2,5,0.0187,1226,388,9830,0,0.0132,0,0,388,76,m,1
народ,народ,S,5,2,5,0.0129,1715.5,116,5376,0,0.0167,0,0,390,120,f,2
метко,метко,ADV,5,2,3,0.0195,1494.5,138,1684,0,0.0111,0,0,648,90,m,3
мышку,мышка,S,5,2,3,0.0217,1178.33,152,15440,1,0.0256,0,1,628,78,f,1
сломанный,сломать,VP,9,3,1,0.0196,1030,170,1306,0,0.0227,0,0,390,88,f,2
было,быть,V,4,2,5,0.0162,1338,170,18034,1,0.0196,0,0,390,102,f,3
зимой,зима,ADV,5,2,5,0.0077,1022.5,180,42790,1,0.0106,0,0,390,188,m,1
которого,который,P,8,3,5,0.0217,1149,226,9680,0,0.0256,0,0,390,78,f,1
мальчики,мальчик,S,8,3,4,0.0098,1244.5,236,6300,0,0.014,0,0,390,143,f,1
пёс,пёс,S,3,1,3,0.0047,594.5,240,78450,0,0.0063,0,0,390,319,f,1
площадках,площадка,S,9,3,3,0.0071,1638,390,42042,0,0.0045,0,0,390,221,f,1
так,так,P,3,1,5,0.0217,1224,390,12132,0,0.0128,0,0,390,78,f,1
расцвели,расцвести,V,8,3,2,0.0235,1113,390,12860,1,0.0152,0,0,390,66,f,3
шуба,шуба,S,4,2,3,0.0112,1123,208,37366,1,0.016,0,1,568,125,f,1
белая,белый,A,5,3,4,0.0238,2016.5,230,17388,1,0.0312,0,0,392,64,m,3
назвал,назвать,V,7,2,5,0.0193,891.5,240,2756,0,0.0238,0,0,392,84,f,3
августе,август,S,7,3,4,0.0236,1111,392,12442,1,0.0152,0,0,392,66,f,3
белая,белый,A,5,3,4,0.0214,1433.5,156,19192,1,0.025,0,0,394,80,m,3
назвал,назвать,V,7,2,5,0.0221,2442,190,2082,0,0.025,0,0,394,80,m,3
увидала,увидать,V,7,3,3,0.0163,1468,198,5734,0,0.0196,0,0,394,102,f,3
человек,человек,S,7,3,5,0.0271,1312.5,202,320,0,0.0328,1,0,394,61,f,3
дикие,дикий,A,5,2,4,0.0246,1276.5,212,6764,1,0.0299,0,0,394,67,f,1
умке,умке,S,4,2,1,0.0215,879,238,15684,1,0.0256,0,0,394,78,f,3
хозяйстве,хозяйство,S,9,3,4,0.0083,1308.5,280,30534,0,0.0116,0,0,394,172,f,1
жители,житель,S,6,2,5,0.0218,988,394,454,0,0.0143,1,0,394,70,f,3
зимой,зима,ADV,5,2,5,0.0301,1476,394,13498,1,0.0159,0,0,394,63,f,3
деревьям,дерево,S,8,3,3,0.0135,1535,394,13462,0,0.0137,0,0,394,73,m,1
семена,семена,S,6,3,4,0.0285,1526,394,2190,1,0.0147,0,0,394,68,f,3
мясо,мясо,S,4,2,4,0.0095,1147,394,21212,1,0.0091,0,0,394,110,f,1
летом,летом,ADV,5,2,5,0.0236,1183,134,9190,0,0.0395,0,0,396,76,f,2
дрозды,дрозд,S,6,1,2,0.0311,1943.5,164,12412,1,0.037,0,0,396,54,f,3
посадили,посадить,V,8,4,4,0.0287,1235,200,3330,1,0.0294,0,0,396,68,f,3
может,может,PART,5,2,4,0.016,1009,230,17618,1,0.0196,0,0,396,102,f,3
там,там,P,3,1,5,0.0065,818,396,14522,0,0.0044,0,0,396,226,f,3
мяса,мясо,S,4,2,4,0.0108,1011,396,26456,1,0.0082,0,0,396,122,f,2
буратино,буратино,S,8,4,2,0.02,1027,176,532,0,0.0227,1,0,398,88,f,2
чутко,чутко,ADV,5,2,3,0.0078,1004,198,27822,0,0.0053,0,0,1274,188,m,1
ребенок,ребенок,S,7,3,4,0.0055,1242.5,226,47072,1,0.0079,0,0,398,252,f,1
снова,снова,ADV,5,2,5,0.0114,1192.5,280,23358,1,0.016,0,0,398,125,f,1
лед,S,5,1,476,3,0.0259,625,398,4194,0,0.0161,0,0,398,62,f,2
золотая,золотой,A,7,3,4,0.0444,1340,398,6948,0,0.0312,0,0,398,32,f,3
похожа,похожий,A,6,3,4,0.0405,1024,398,7544,1,0.0278,0,1,1684,36,f,2
управляют,управлять,V,9,4,3,0.0265,1320,398,7214,0,0.0164,1,0,398,61,f,1
она,она,P,3,1,5,0.0158,1053.5,186,19738,0,0.0233,0,0,400,86,m,2
компьютером,компьютер,S,11,4,3,0.0388,884.5,196,5944,0,0.05,0,0,400,40,f,2
когда,когда,ADV,5,2,5,0.0275,1483.5,208,2276,0,0.0164,1,0,604,61,f,3
хвостиком,хвостик,S,9,3,3,0.0266,1242,216,16162,1,0.0164,0,1,580,61,f,1
так,так,ADV,3,1,5,0.0049,807.5,256,6606,0,0.0078,0,0,400,256,f,1
ребенок,ребенок,S,7,3,4,0.0099,1847,400,33016,0,0.0069,0,0,400,145,f,3
зимой,зима,ADV,5,2,5,0.0105,1544,400,37424,1,0.0072,0,0,400,139,f,1
своё,свое,A,4,2,5,0.0286,1409,400,12322,1,0.0154,0,0,400,65,f,3
современный,современный,A,11,4,4,0.0549,987.5,128,418,0,0.037,1,0,2264,27,f,2
семена,семена,S,6,3,4,0.0249,2510.5,188,2118,0,0.0274,0,0,402,73,m,3
заходит,заходить,V,7,3,4,0.0223,993,198,7496,0,0.0286,0,0,402,70,f,3
лошадей,лошадь,S,7,3,5,0.019,1032,216,8688,0,0.0274,0,0,402,73,m,1
когда,когда,ADV,5,2,5,0.0282,1251.5,250,4302,0,0.0323,0,0,402,62,m,1
мясо,мясо,S,4,2,4,0.015,1199,402,6828,0,0.0088,0,0,554,113,f,1
собаки,собака,S,6,3,5,0.021,1502.5,122,15010,0,0.0127,1,0,806,79,f,1
детей,ребенок,S,5,2,4,0.0164,1009.5,160,10806,0,0.0196,0,0,404,102,f,3
молодые,молодой,A,7,4,5,0.0232,879.5,196,10752,1,0.0274,0,0,404,73,f,3
путешествие,путешествие,S,11,5,4,0.0224,957.5,230,13820,1,0.0286,0,0,404,70,f,3
снова,снова,ADV,5,2,5,0.0076,1751.5,232,39512,1,0.0127,0,1,518,157,f,2
называется,называться,V,10,5,5,0.0278,1484.5,232,9718,1,0.0328,0,0,404,61,f,3
появились,появиться,V,9,4,5,0.0243,1022.5,248,9654,1,0.0303,0,0,404,66,f,3
