Slovoforma,lemma,part_of_speech,letters_in_slovoforma,slogi_slovoforma,rang_frequency_NKRIA,IA_DWELL_TIME_%,IA_AVERAGE_FIX_PUPIL_SIZE,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_FIXATION_%,IA_REGRESSION_IN,IA_REGRESSION_OUT,IA_REGRESSION_PATH_DURATION,TRIAL_FIXATION_COUNT,sex,grade
все,все,P,3,1,5,0.0074,980,152,10436,0,0.0135,0,0,152,74,f,3
зимой,зима,ADV,5,2,5,0.0088,1127,152,18508,1,0.013,0,0,152,77,f,2
затем,затем,CON,5,2,5,0.0078,1118,152,13594,0,0.0152,0,0,328,66,f,3
гоняет,гонять,V,6,3,1,0.0062,919,154,23628,1,0.0098,0,0,154,102,f,3
бывал,быть,V,5,2,4,0.0078,985,154,4088,0,0.0114,0,0,154,88,f,2
сиди,сидеть,V,4,2,3,0.0066,1024,154,14328,1,0.0125,0,1,2882,80,f,3
пёс,пёс,S,3,1,3,0.0038,1464,154,38658,0,0.0058,0,0,154,172,f,1
тёплая,теплый,A,6,3,4,0.0079,1163,154,20892,1,0.0152,0,0,154,66,f,3
белые,белый,A,5,3,5,0.0111,1348,154,16066,1,0.0147,0,0,154,68,f,3
стучат,стучать,V,6,2,3,0.0158,1105,156,3876,1,0.0312,0,0,156,32,f,2
что,что,CON,3,1,5,0.0067,981,156,9356,0,0.0093,0,0,156,107,m,2
работы,работа,S,6,3,5,0.0034,1596,158,28514,0,0.0068,0,0,2334,147,f,1
увидала,увидать,V,7,3,3,0.0092,1150,158,7074,0,0.013,0,0,158,77,f,2
дикие,дикий,A,5,2,4,0.0135,1019,158,3744,0,0.0238,0,0,158,42,f,2
мяса,мясо,S,4,2,4,0.0084,2350,158,15148,0,0.0128,0,0,642,78,f,3
разве,разве,PART,5,2,4,0.0077,1326,160,7822,1,0.0116,0,0,160,86,f,3
того,то,P,4,2,5,0.0115,1349,160,11312,0,0.0154,1,0,160,65,f,3
бывал,быть,V,5,2,4,0.0068,2462,162,5510,0,0.0108,0,0,162,93,f,3
посадили,посадить,V,8,4,4,0.0098,954,162,3980,0,0.0152,0,0,162,66,f,3
воде,вода,S,4,2,5,0.0084,1407,162,7280,0,0.0127,0,0,162,79,f,1
горшок,горшок,S,6,2,2,0.004,1405,164,4296,0,0.0058,0,0,164,172,f,1
работы,работа,S,6,3,5,0.0097,661,164,10312,0,0.0145,0,0,164,69,f,2
освоил,осваивать,V,6,3,1,0.0074,856,166,18982,1,0.0119,0,1,648,84,f,2
лошадей,лошадь,S,7,3,5,0.0024,1016,166,35728,0,0.0046,0,0,2130,218,m,1
пищат,пищать,V,5,2,2,0.0185,1218,166,5662,0,0.0312,1,0,166,32,f,3
через,через,PR,5,2,5,0.0119,1279,166,2184,0,0.0154,0,0,166,65,f,3
она,она,P,3,2,5,0.0069,1416,166,11010,0,0.0098,0,0,166,102,f,3
мясо,мясо,S,4,2,4,0.0035,701,166,23874,0,0.0054,0,0,166,185,f,1
дощечке,дощечка,S,7,3,2,0.0962,1207,166,358,0,0.1667,1,0,858,6,m,1
несколько,несколько,ADV,9,3,5,0.01,667,168,6160,0,0.0145,0,0,168,69,f,2
медведя,медведь,S,7,3,4,0.0098,1015,168,2368,0,0.013,0,0,168,77,f,2
дрозды,дрозд,S,6,1,2,0.017,1057,168,8842,1,0.0312,0,0,168,32,f,2
через,через,PR,5,2,5,0.0035,697,168,2826,0,0.0054,0,0,6412,185,f,1
воспитывают,воспитывать,V,11,5,1,0.0112,1390,170,13480,0,0.0141,1,0,170,71,f,3
умка,умка,S,4,2,1,0.0099,1212,170,5726,0,0.013,0,0,170,77,f,2
вспомнил,вспомнить,V,8,2,5,0.0142,1282,170,928,0,0.0227,0,0,170,44,f,3
шла,идти,V,3,1,5,0.0121,1023,170,294,0,0.0192,1,0,376,52,f,2
другая,другой,A,6,3,5,0.0064,986,170,9492,0,0.011,0,0,170,91,f,2
там,там,P,3,1,5,0.0088,1441,170,8362,0,0.0127,1,0,396,79,f,1
похуже,плохо,ADV,6,3,2,0.0115,1049,172,3816,0,0.0172,0,0,172,58,f,2
летом,летом,ADV,5,2,5,0.0113,1459,172,6196,0,0.0141,0,0,2850,71,f,3
гоняет,гонять,V,6,3,1,0.0113,1283,172,22776,1,0.0141,0,0,172,71,f,3
метко,метко,ADV,5,2,3,0.0076,972,172,2164,0,0.011,0,0,172,91,f,3
зимой,зима,ADV,5,2,5,0.0089,1202,172,18686,1,0.0152,0,0,172,66,f,3
помощью,помощь,S,7,3,5,0.0167,1095,172,4308,0,0.025,0,0,172,40,f,2
мясо,мясо,S,4,2,4,0.0074,981,172,13780,0,0.0093,0,0,172,107,m,2
собаки,собака,S,6,3,5,0.0083,1243,172,13750,0,0.0132,0,0,172,76,m,1
холодно,холодно,ADV,7,3,5,0.0094,1578,174,16928,1,0.0125,0,0,174,80,m,3
мясо,мясо,S,4,2,4,0.0084,1232,174,4842,0,0.0132,0,0,174,76,m,1
хватается,хвататься,V,9,4,2,0.0118,1139,176,15346,1,0.0172,0,0,176,58,f,2
пёс,пёс,S,3,1,3,0.0032,1228,176,49220,1,0.0061,0,0,176,164,m,1
детей,ребенок,S,5,2,4,0.0104,529,176,10532,0,0.0149,0,0,176,67,f,2
может,может,PART,5,2,4,0.0104,540,176,15202,1,0.0149,0,0,176,67,f,2
поют,петь,V,4,2,4,0.0178,1068,176,8166,0,0.0312,1,0,176,32,f,2
было,быть,V,4,2,5,0.0092,882,176,16444,1,0.0141,0,1,390,71,f,2
что,что,CON,3,1,5,0.0073,1416,176,8432,0,0.0098,1,0,176,102,f,3
что,что,CON,3,1,5,0.0085,1213,176,7404,0,0.0132,0,0,176,76,m,1
бывал,быть,V,5,2,4,0.0119,1099,178,3356,0,0.0172,1,0,178,58,f,2
бывал,быть,V,5,2,4,0.0095,2392,178,6350,0,0.0123,0,0,178,81,m,3
все,все,P,3,1,5,0.0089,1699,178,11430,0,0.0111,1,0,178,90,m,3
чутко,чутко,ADV,5,2,3,0.0136,1485,178,8630,0,0.0159,0,0,178,63,f,3
другая,другой,A,6,3,5,0.0074,1352,178,8872,0,0.0098,0,0,178,102,f,3
своё,свое,A,4,2,5,0.0066,1153,178,22804,1,0.0088,0,0,178,113,f,1
своё,свой,A,4,2,5,0.0092,1431,178,11812,0,0.0127,0,0,178,79,f,1
белая,белый,A,5,3,4,0.0137,1416,180,16046,1,0.0159,0,1,406,63,f,3
своё,свой,P,4,2,5,0.0098,1409,180,14682,1,0.0125,0,0,180,80,m,3
молодые,молодой,A,7,4,5,0.0107,1117,180,10012,0,0.0132,0,0,180,76,f,2
мясо,мясо,S,4,2,4,0.0129,1015,180,6730,0,0.0192,0,0,496,52,f,2
кинулась,кинуться,V,8,3,3,0.0129,1002,180,9286,0,0.0192,0,0,180,52,f,2
реку,река,S,4,2,4,0.0129,1245,180,2372,0,0.0154,0,0,180,65,f,3
сел,садиться,V,3,1,4,0.012,1325,182,1160,0,0.0141,0,0,182,71,f,3
умка,умка,S,4,2,1,0.0043,1476,182,9036,0,0.0059,0,0,182,169,f,1
одно,один,NUM,4,2,5,0.0159,2372,182,3664,0,0.0227,0,0,368,44,f,3
ребята,ребята,S,6,3,5,0.0102,902,182,12896,1,0.0161,0,0,182,62,f,3
георгины,георгин,S,8,4,1,0.0102,991,182,18872,0,0.0161,0,0,334,62,f,3
своё,свой,A,4,2,5,0.013,1011,182,8314,0,0.0192,0,0,342,52,f,2
было,быть,V,4,2,5,0.0078,981,182,18430,1,0.0093,0,0,182,107,m,2
все,все,P,3,1,5,0.0071,1407,186,15146,0,0.0095,1,0,186,105,m,1
снова,снова,ADV,5,2,5,0.0037,986,186,32530,0,0.0053,0,0,572,188,m,1
цветов,цветы,S,6,2,4,0.0048,1535,186,5832,0,0.0074,0,0,186,135,f,1
так,так,P,3,1,5,0.0164,1642,188,7804,1,0.0227,0,0,188,44,f,3
одно,один,NUM,4,2,5,0.0157,1251,188,2854,0,0.0227,0,0,188,44,f,3
летом,летом,ADV,5,2,5,0.0116,2441,188,7692,0,0.0137,1,0,188,73,m,3
воде,вода,S,4,2,5,0.0081,990,188,8214,0,0.0093,0,0,188,107,m,2
мясо,мясо,S,4,2,4,0.01,2191,188,11736,0,0.0128,0,0,188,78,f,3
сел,садиться,V,3,1,4,0.0022,1802.5,46,386,0,0.0041,1,0,46,243,f,1
детей,ребенок,S,5,2,4,0.0084,739,190,11904,0,0.0119,0,0,476,84,f,2
сиди,сидеть,V,4,2,3,0.0024,1447,190,46732,0,0.0039,1,0,190,257,m,1
назвал,назвать,V,7,2,5,0.0084,973,190,2362,0,0.011,0,0,190,91,f,3
шуба,шуба,S,4,2,3,0.0105,965,190,19110,1,0.0143,0,1,723,70,f,3
дощечке,дощечка,S,7,3,2,0.0066,1244,190,4258,0,0.0106,1,0,190,94,m,2
воде,вода,S,4,2,5,0.0136,1162,190,5204,0,0.0154,0,0,190,65,f,3
воде,вода,S,4,2,5,0.006,1212,190,9882,0,0.0094,0,0,190,106,m,2
