modern_name,old_name_sep,id
"Виноградов, М. Е.","Виноградовъ, М. Е.",2535
"Виноградов, Ф.","Виноградовъ, Ѳ.",1310
"Виноградский, С.","Виноградскій, С.",2160
"Виргебер, К.","Виргеберъ, К.",490
Висковатов,Висковатовъ,609
"Висковатов, П.","Висковатовъ, П.",1089
"Виталий, Архиманд.","Виталій, Архиманд.",667
"Витвицкий, Л. М.","Витвицкій, Л. М.",1008
"Витвицкий, Л. Н.","Витвицкій, Л. Н.",1345
"Витте, А.","Витте, А.",2283
"Витте, П. Х.","Витте, П. Х.",923
"Вицман, А.","Вицманъ, А.",43
Вишняков А. С.,Вишняковъ А. С.,2049
"Вишняков, В. С.","Вишняковъ, В. С.",2049
"Вишняковский, В. П.","Вишняковскій, В. П.",2351
"Владимир, Иер.","Владимиръ, Іер.",1899
"Владимиров, В.","Владимировъ, В.",1074
"Владимиров, Л. Е.","Владимировъ, Л. Е.",2380
"Владимиров, Л. Е.","Владимировъ, Л. Е.",2547
"Владимиров, П. В.","Владимировъ, П. В.",1404
"Владимиров, П. В.","Владимировъ, П. В.",1404
Владимирский — Буданов,Владимирскій — Будановъ,1404
"Владимирский, А. В.","Владимирскій, А. В.",812
"Владимирский, А. П., протоиерей","Владимирскій, А. П., протоіерей",526
"Владимирский, В. А.","Владимирскій, В. А.",812
"Владимирский, Н.","Владимирскій, Н.",1566
"Владиславлев, А. В.","Владиславлевъ, А. В.",1670
"Владиславский, Падалко, Н. Ф.","Владиславскій, Падалко, Н. Ф.",1373
"Власов, П. А.","Власовъ, П. А.",2711
"Воейков, А. И.","Воейковъ, А. И.",906
"Воейков, А. И.","Воейковъ, А. И.",2119
"Воейков, А. Ф.","Воейковъ, А. Ѳ.",206
"Воейков, А. Ф.","Воейковъ, А. Ѳ.",213
"Воейков, А. Ф.","Воейковъ, А. Ѳ.",268
"Воейков, А. Ф.","Воейковъ, А. Ѳ.",299
"Воейков, А. Ф.","Воейковъ, А. Ѳ.",325
"Воейков, С. В.","Воейковъ, С. В.",2561
"Воейкова, А. А.","Воейкова, А. А.",2748
"Вознесенский, А.","Вознесенскій, А.",882
"Вознесенский, А. В.","Вознесенскій, А. В.",507
"Вознесенский, Н. И.","Вознесенскій, Н. И.",1674
"Воинов, М.","Воиновъ, М.",1188
"Войнаровский, П. Д.","Войнаровскій, П. Д.",2389
"Войслав, С. Г.","Войславъ, С. Г.",2187
"Воленс, В. П.","Воленсъ, В. П.",1419
"Воленс, В. П.","Воленсъ, В. П.",2344
"Волкенштейн, А. Н.","Волкенштейнъ, А. Н.",1215
"Волкенштейн, А. Н.","Волкенштейнъ, А. Н.",1329
"Волкенштейн, А. Н.","Волкенштейнъ, А. Н.",1351
"Волкенштейн, П. Е.","Волкенштейнъ, П. Е.",639
"Волков, А. А.","Волковъ, А. А.",1080
"Волков, А. Д.","Волковъ, А. Д.",1212
"Волков, А. К.","Волковъ, А. К.",2377
"Волков, А. П.","Волковъ, А. П.",2377
"Волков, Андриан","Волковъ, Андріанъ",1080
"Волков, Д.","Волковъ, Д.",1558
"Волков, Д. Ф.","Волковъ, Д. Ф.",2547
"Волков, М. М.","Волковъ, М. М.",2027
"Волков, Н. И.","Волковъ, Н. И.",2254
"Волков, Платон","Волковъ, Платонъ",322
"Волков, Ю.","Волковъ, Ю.",740
"Волконский, М. Н.","Волконскій, М. Н.",1042
"Волконский, М. Н.","Волконскій, М. Н.",2346
"Волконский, М. Н.","Волконскій, М. Н.",2346
"Волконский, Н.","Волконскій, Н.",951
"Вологдин, И.","Вологдинъ, И.",1129
"Волчков, В. А.","Волчковъ, В. А.",1429
"Вольф, А.","Вольфъ, А.",1427
"Вольф, А. М.","Вольфъ, А. М.",818
"Вольф, А. М.","Вольфъ, А. М.",1024
"Вольф, А. М.","Вольфъ, А. М.",1280
"Вольф, А. М.","Вольфъ, А. М.",1751
"Вольф, А. М.","Вольфъ, А. М.",1962
"Вольф, А. М.","Вольфъ, А. М.",2367
"Вольф, Л. М.","Вольфъ, Л. М.",2838
"Вольф, М. О.","Вольфъ, М. О.",679
"Вольф, М. О.","Вольфъ, М. О.",736
"Вольф, М. О.","Вольфъ, М. О.",754
"Вольф, М. О.","Вольфъ, М. О.",762
"Вольф, М. О.","Вольфъ, М. О.",805
"Вольф, М. О.","Вольфъ, М. О.",1024
"Вольф, М. О.","Вольфъ, М. О.",1280
"Вольф, М. О.","Вольфъ, М. О.",1666
"Вольф, М. О.","Вольфъ, М. О.",2396
"Вольф, М. О.","Вольфъ, М. О.",2645
"Вольф, М. О.","Вольфъ, М. О.",2698
"Вольф, М. О.","Вольфъ, М. О.",2740
"Вольф, М. О.","Вольфъ, М. О.",2747
"Вольф, М. О.","Вольфъ, М. О.",2752
"Вольф, М. О.","Вольфъ, М. О.",2838
"Вольф, Н. Х.","Вольфъ, Н. Х.",2230
"Вольф, О. Л.","Вольфъ, О. Л.",1024
"Воробьев, В. А.","Воробьевъ, В. А.",2728
"Воронов, М. Н.","Вороновъ, М. Н.",1326
"Воронов, М. Н.","Вороновъ, М. Н.",1454
"Воронов, Н.","Вороновъ, Н.",507
"Воронов, Н. И.","Вороновъ, Н. И.",475
"Воронов, Н. Н.","Вороновъ, Н. Н.",1112
"Воронова, Е. П.","Воронова, Е. П.",1238
"Воронцов-Вельяминов, Н.","Воронцовъ-Вельяминовъ, Н.",612
"Воронцов, В. Е.","Воронцовъ, В. Е.",1982
"Воротников, Н.","Воротниковъ, Н.",1373
"Воскобойников, Н. Н.","Воскобойниковъ, Н. Н.",349
"Воскресенский, А. Е.","Воскресенскій, А. Е.",367
"Воскресенский, В.","Воскресенскій, В.",1448
"Востоков, А. Х.","Востоковъ, А. Х.",129
Вотяков,Вотяковъ,997
"Вочнадзе, К.","Вочнадзе, К.",1690
"Врангель, В. Г.","Врангель, В. Г.",437
"Врангель, Ф. Ф.","Врангель, Ф. Ф.",1879
"Вруцевич, А. С.","Вруцевичъ, А. С.",441
"Вульферт, И. К.","Вульфертъ, И. К.",2815
"Вульферт, И. С.","Вульфертъ, И. С.",1597
"Вульферт, Н. С.","Вульфертъ, Н. С.",1597
"Вутке, Г. Р.","Вутке, Г. Р.",2215
"Вымжинский, И.","Вымжинскій, І.",954
"Вырубов, С. А.","Вырубовъ, С. А.",1801
"Высокович, В.","Высоковичъ, В.",2783
"Высоцкий, И.","Высоцкій, И.",1886
"Вышеславцев, М. М.","Вышеславцевъ, М. М.",111
"Вышнеградский, Н.","Вышнеградскій, Н.",553
"Вяземский, П. А., князь","Вяземскій, П. А., князь",366
"Вяземский, П. И.","Вяземскій, П. И.",2429
"Гааз, Ф.","Гаазъ, Ѳ.",2423
"Гаазе, Август","Гаазе, Августъ",1007
"Гаазе, Б. О.","Гаазе, Б. О.",670
"Гаврилов, А.","Гавриловъ, А.",1226
"Гаврилов, А. М.","Гавриловъ, А. М.",85
"Гаврилов, Д. В.","Гавриловъ, Д. В.",574
"Гаврилов, М. Г.","Гавриловъ, М. Г.",85
"Гаврилов, Н. В.","Гавриловъ, Н. В.",1389
"Гавровский, К. Д.","Гавровскій, К. Д.",304
"Гаген, Т. И.","Гагенъ, Т. И.",2106
Гаевский,Гаевскій,312
"Гайдебуров, В. А.","Гайдебуровъ, В. А.",880
"Гайдебуров, В. П.","Гайдебуровъ, В. П.",880
"Гайдебуров, В. П.","Гайдебуровъ, В. П.",2593
"Гайдебуров, В. П.","Гайдебуровъ, В. П.",2594
"Гайдебуров, П. А.","Гайдебуровъ, П. А.",880
"Гайдебуров, П. А.","Гайдебуровъ, П. А.",1319
"Гайдебуров, П. А.","Гайдебуровъ, П. А.",1748
"Галанин, И. Д.","Галанинъ, И. Д.",350
"Галанин, М.","Галанинъ, М.",1459
"Галанин, М. И.","Галанинъ, М. И.",693
"Галанин, М. И.","Галанинъ, М. И.",1181
"Галанин, М. И.","Галанинъ, М. И.",1540
"Галанин, М. И.","Галанинъ, М. И.",1983
"Галин, П. Н.","Галинъ, П. Н.",1365
"Галинковский, Я. А.","Галинковскій, Я. А.",126
"Галяров, А. А.","Галяровъ, А. А.",1661
"Гамазов, М. А.","Гамазовъ, М. А.",507
"Гамалей, К. М.","Гамалѣй, К. М.",1561
"Гамбашидзе, Д.","Гамбашидзе, Д.",1757
"Гаммершмидт, А.","Гаммершмидтъ, А.",540
"Гамов, К.","Гамовъ, К.",2805
"Ганзен, Г. Л.","Ганзенъ, Г. Л.",1846
"Гапонов, Г. М.","Гапоновъ, Г. М.",2798
"Гарвей, Н. И.","Гарвей, Н. И.",1803
"Гарий, Е.","Гарій, Е.",6
"Гарий, Е.","Гарій, Е.",123
"Гарий, Е.","Гарій, Е.",127
"Гартье, Э. К.","Гартье, Э. К.",1389
"Гаршин, Е. М.","Гаршинъ, Е. М.",1394
"Гаршин, Е. М.","Гаршинъ, Е. М.",2216
"Гаспринский, И.","Гаспринскій, И.",1640
"Гаспринский, И.","Гаспринскій, И.",1819
"Гатцук, А.","Гатцукъ, А.",1230
"Гатцук, А. А.","Гатцукъ, А. А.",1207
"Гатцук, В. А.","Гатцукъ, В. А.",2433
"Гауф, Альберт","Гауфъ, Альбертъ",1345
"Гациский, А.","Гацискій, А.",847
"Гациский, А. С.","Гацискій, А. С.",916
"Гациский, А. С.","Гацискій, А. С.",1932
Гаярин,Гаяринъ,1004
"Гвоздикова, Л.","Гвоздикова, Л.",968
"Гвоздикова, Л.","Гвоздикова, Л.",1035
"Гедеонова, Ж. К.","Гедеонова, Ж. К.",320
"Гейден, гр. Д. Ф.","Гейденъ, гр. Д. Ѳ.",2776
"Гейер, И. И.","Гейеръ, И. И.",2672
"Гейлер, И. К.","Гейлеръ, И. К.",1273
"Гейнце, Н. Э.","Гейнце, Н. Э.",1588
"Гейрот, А. А.","Гейротъ, А. А.",490
"Гейрот, А. А.","Гейротъ, А. А.",1853
"Гейрот, А. Ф.","Гейротъ, А. Ѳ.",490
"Гейрот, А. Ф.","Гейротъ, А. Ѳ.",770
"Гейрот, А. Ф.","Гейротъ, А. Ѳ.",783
"Гейслер, М. Ф.","Гейслеръ, М. Ѳ.",1111
"Гейслер, М. Ф.","Гейслеръ, М. Ѳ.",1111
"Гейслер, М. Ф.","Гейслеръ, М. Ѳ.",1494
"Гейслер, М. Ф.","Гейслеръ, М. Ѳ.",1494
"Гельвич, А.","Гельвичъ, А.",1600
"Гельмерсен, Л. А.","Гельмерсенъ, Л. А.",2183
"Гельфрейх, Ольга","Гельфрейхъ, Ольга",812
"Гемилиан, А. П.","Гемиліанъ, А. П.",1646
"Гемилиан, А. П.","Гемиліанъ, А. П.",1646
"Гемилиан, Е. П.","Гемиліанъ, Е. П.",1646
"Генбачев, И. С.","Генбачевъ, И. С.",848
"Гензель, П. М.","Гензель, П. М.",2067
"Гензельт, А. Л.","Гензельтъ, А. Л.",463
"Геник, Д. А.","Геникъ, Д. А.",2485
"Геника, Д. А.","Геника, Д. А.",2093
"Генкель, В.","Генкель, В.",471
"Генкель, В. Е.","Генкель, В. Е.",521
"Генкель, В. Е.","Генкель, В. Е.",541
"Генкель, В. Е.","Генкель, В. Е.",745
"Генкель, В. Е.","Генкель, В. Е.",880
"Генкель, В. Е.","Генкель, В. Е.",917
"Генкель, В. Е.","Генкель, В. Е.",991
"Генкель, Г. Г.","Генкель, Г. Г.",2730
"Генкель, М. Г.","Генкель, М. Г.",2716
Генрих,Генрихъ,951
"Георги, И. Г.","Георги, І. Г.",35
"Георгиевский, А. И.","Георгіевскій, А. И.",304
"Георгиевский, А. И.","Георгіевскій, А. И.",350
"Георгиевский, Н. Н.","Георгіевскій, Н. Н.",2808
"Гербер, Э.","Герберъ, Э.",1044
"Гербильский, С. П.","Гербильскій, С. П.",1585
"Геринг, Б. Б.","Герингъ, Б. Б.",686
"Герман, А.","Германъ, А.",818
"Герман, К. Ф.","Германъ, К. Ѳ.",164
"Гермоген, архим.","Гермогенъ, архим.",2101
"Гермониус, А. К.","Гермоніусъ, А. К.",919
"Гернет, В. А.","Гернетъ, В. А.",1802
"Гернстенберг, И. Д.","Гернстенбергъ, И. Д.",96
"Гернстенберг, И. Д.","Гернстенбергъ, И. Д.",102
"Гернстенберг, И. Д.","Гернстенбергъ, И. Д.",105
"Гернстенберг, И. Д.","Гернстенбергъ, И. Д.",107
"Герц, К. К.","Герцъ, К. К.",837
"Герценштейн, А. И.","Герценштейнъ, А. И.",2176
"Герценштейн, Г. М.","Герценштейнъ, Г. М.",1758
"Герценштейн, Г. М.","Герценштейнъ, Г. М.",1758
"Герценштейн, Г. М.","Герценштейнъ, Г. М.",2070
"Герцик, А. В.","Герцикъ, А. В.",1767
"Герцик, А. В.","Герцикъ, А. В.",2122
"Герцик, А. Г.","Герцикъ, А. Г.",2075
"Гессен, В. М.","Гессенъ, В. М.",2762
"Гетце, Ф. П.","Гетце, Ф. П.",1416
"Гетье, Ф. А.","Гетье, Ѳ. А.",2305
"Гетье, Ф. А.","Гетье, Ѳ. А.",2305
Гибнер,Гибнеръ,2577
"Гибнер, В.","Гибнеръ, В.",426
"Гиджеу, С. Л.","Гиджеу, С. Л.",2653
"Гиероглифов, А.","Гіероглифовъ, А.",1461
"Гиероглифов, А. О.","Гіероглифовъ, А. О.",992
"Гиероглифов, А. С.","Гіероглифовъ, А. С.",624
"Гиероглифов, А. С.","Гіероглифовъ, А. С.",1218
"Гиллин, А. А.","Гиллинъ, А. А.",2471
"Гильтебрант, П. А.","Гильтебрантъ, П. А.",691
"Гильтебрант, П. А.","Гильтебрантъ, П. А.",907
"Гильфердинг, А. Ф.","Гильфердингъ, А. Ѳ.",474
"Гиляров-Платонов, Н.","Гиляровъ-Платоновъ, Н.",1643
"Гиляров-Платонов, Н. П.","Гиляровъ-Платоновъ, Н. П.",974
"Гиляров, Н.","Гиляровъ, Н.",974
"Гиляров, Ф.","Гиляровъ, Ѳ.",974
"Гиляров, Ф. А.","Гиляровъ, Ѳ. А.",1606
"Гиляров, Ф. А.","Гиляровъ, Ѳ. А.",1661
"Гиляровский, В. А.","Гиляровскій, В. А.",2117
"Гиляровский, В. А.","Гиляровскій, В. А.",2117
"Гинзбург, Я. М.","Гинзбургъ, Я. М.",2554
"Гинкфус, О. С.","Гинкфусъ, О. С.",2735
"Гиппиус, А. Р.","Гиппіусъ, А. Р.",1975
"Гиппиус, А. Р.","Гиппіусъ, А. Р.",2143
"Гиппиус, Э. Р.","Гиппіусъ, Э. Р.",2162
"Гиппиус, Э. Э.","Гиппіусъ, Э. Э.",2154
"Гирс, Д.","Гирсъ, Д.",1070
"Гирс, Д. К.","Гирсъ, Д. К.",1340
"Гиршфельд, М. В.","Гиршфельдъ, М. В.",1758
"Гисси, С. А.","Гисси, С. А.",995
"Гисси, С. А.","Гисси, С. А.",1619
"Гисси, С. А.","Гисси, С. А.",1747
Глаголев,Глаголевъ,312
"Гладков, Б. И.","Гладковъ, Б. И.",1950
"Гладков, Б. И.","Гладковъ, Б. И.",1958
"Глазенап, С.","Глазенапъ, С.",1149
"Глазенап, С.","Глазенапъ, С.",1150
"Глазенап, С. П.","Глазенапъ, С. П.",1032
"Глазенап, С. П.","Глазенапъ, С. П.",1835
"Глазенап, С. П.","Глазенапъ, С. П.",2311
"Глазенап, С. П.","Глазенапъ, С. П.",2311
"Глазков, А.","Глазковъ, А.",982
"Глазунов, И. П.","Глазуновъ, И. П.",220
"Глебов, Л.","Глѣбовъ, Л.",711
"Глебов, Н.","Глѣбовъ, Н.",2120
"Глинка, С.","Глинка, С.",178
"Глинка, С.","Глинка, С.",261
"Глинка, С.","Глинка, С.",269
"Глинка, Ф.","Глинка, Ѳ.",239
"Глинский, Б. Б.","Глинскій, Б. Б.",1776
"Глинский, Н., д-р","Глинскій, Н., д-ръ",716
"Глотова, Е. Д.","Глотова, Е. Д.",1891
"Глубоковский, М. Н.","Глубоковскій, М. Н.",2050
"Глубоковский, М. Н.","Глубоковскій, М. Н.",2323
"Глумова, М. В.","Глумова, М. В.",1732
"Гнедич, П. П.","Гнѣдичъ, П. П.",1963
"Гоби, Х.","Гоби, Х.",1798
"Говорский, К.","Говорскій, К.",757
"Говорский, К.","Говорскій, К.",836
"Гогоцкая, А. И.","Гогоцкая, А. И.",607
"Гойнинген-Гюне, Н. Б.","Гойнингенъ-Гюне, Н. Б.",2870
"Голенищев-Кутузов, А. А., гр.","Голенищевъ-Кутузовъ, А. А., гр.",2820
"Голенищев-Кутузов, П. И. сенатор","Голенищевъ-Кутузовъ, П. И. сенаторъ",134
"Голике, Р. Р.","Голике, Р. Р.",437
"Голике, Р. Р.","Голике, Р. Р.",1271
"Голике, Р. Р.","Голике, Р. Р.",1330
"Голике, Р. Р.","Голике, Р. Р.",1405
"Голике, Р. Р.","Голике, Р. Р.",1440
"Голике, Р. Р.","Голике, Р. Р.",1499
"Голике, Р. Р.","Голике, Р. Р.",2434
"Голицын, 6-й, Н. С., князь","Голицынъ,",6-й
"Голицын, 6-й, Н. С., князь","Голицынъ,",Н. С.
"Голицын, 6-й, Н. С., князь","Голицынъ,",князь
"Голицын, В. Н.","Голицынъ, В. Н.",2367
"Голицын, Н., князь","Голицынъ, Н., князь",797
"Головачев, А. А.","Головачевъ, А. А.",1349
"Головачев, Г. Ф.","Головачевъ, Г. Ф.",838
"Головин, А. В.","Головинъ, А. В.",474
"Головин, В.","Головинъ, В.",745
"Головин, В. А.","Головинъ, В. А.",2206
"Головин, Е. П.","Головинъ, Е. П.",2439
"Головин, М. Е., академик","Головинъ, М. Е., академикъ",45
"Головин, Ф. А., граф","Головинъ, Ѳ. А., графъ",1
"Головинский, М. В.","Головинскій, М. В.",2593
"Головинский, М. В.","Головинскій, М. В.",2594
"Головинский, М. В.","Головинскій, М. В.",2779
"Головщиков, К. Д.","Головщиковъ, К. Д.",1856
"Голодников, К. М.","Голодниковъ, К. М.",2273
"Голодников, К. М.","Голодниковъ, К. М.",2375
"Голомзин, Д. П.","Голомзинъ, Д. П.",2460
"Голубев, К.","Голубевъ, К.",958
"Голубев, К.","Голубевъ, К.",1892
"Голубева, Е.","Голубева, Е.",1833
"Голубков, П. И.","Голубковъ, П. И.",116
"Гольдберг, И. А.","Гольдбергъ, И. А.",1865
"Гольдберг, С. А.","Гольдбергъ, С. А.",2287
"Гольдберс, И.","Гольдберсъ, И.",2469
"Гольденберг, А. И.","Гольденбергъ, А. И.",1428
"Гольденберг, Н. А.","Гольденбергъ, Н. А.",1456
"Гольденблюм, А. И.","Гольденблюмъ, А. И.",1070
"Гольденблюм, А. И.","Гольденблюмъ, А. И.",1387
"Гольдин, Н.","Гольдинъ, Н.",2580
"Гольдин, Н. П.","Гольдинъ, Н. П.",2775
"Гольдсмидт, В. Э.","Гольдсмидтъ, В. Э.",917
Гольдсмит,Гольдсмитъ,1247
"Гольдсмит, И. А.","Гольдсмитъ, И. А.",1032
"Гольдсмит, И. А.","Гольдсмитъ, И. А.",1349
"Гольдштейн, В. А.","Гольдштейнъ, В. А.",718
"Гольдштейн, В. А.","Гольдштейнъ, В. А.",981
"Гольдштейн, В. А.","Гольдштейнъ, В. А.",982
"Гольдштейн, Н. Д.","Гольдштейнъ, Н. Д.",982
"Гольмстен, А. Х.","Гольмстенъ, А. Х.",1074
"Гольцев, В. А.","Гольцевъ, В. А.",977
"Голяткин, А.","Голяткинъ, А.",1143
"Голяховский, П. В.","Голяховскій, П. В.",988
"Голяховский, П. В.","Голяховскій, П. В.",1087
"Голяховский, П. В.","Голяховскій, П. В.",2466
"Голяховский, П. В.","Голяховскій, П. В.",2485
"Гомбоева, Д. Г.","Гомбоева, Д. Г.",1989
"Гомилевский, В. И.","Гомилевскій, В. І.",444
"Гонзал, М. Д.","Гонзалъ, М. Д.",2022
"Гонорский, Р. Т.","Гонорскій, Р. Т.",237
"Гончаров, В. Г.","Гончаровъ, В. Г.",2767
"Гончаров, И. А.","Гончаровъ, И. А.",744
"Гоппе, А. Г.","Гоппе, А. Г.",917
"Гоппе, А. Г.","Гоппе, А. Г.",962
"Гоппе, А. Г.","Гоппе, А. Г.",983
"Гоппе, А. П.","Гоппе, А. П.",917
"Гоппе, А. П.","Гоппе, А. П.",962
"Гоппе, А. П.","Гоппе, А. П.",983
"Гоппе, А. П.","Гоппе, А. П.",1948
"Гоппе, А. П.","Гоппе, А. П.",2014
"Гоппе, А. П.","Гоппе, А. П.",2256
"Гоппе, Г. Д.","Гоппе, Г. Д.",912
"Гоппе, Г. Д.","Гоппе, Г. Д.",917
"Гоппе, Г. Д.","Гоппе, Г. Д.",962
"Гоппе, Г. Д.","Гоппе, Г. Д.",963
"Гоппе, Г. Д.","Гоппе, Г. Д.",1381
"Гоппе, Л. Г.","Гоппе, Л. Г.",917
"Гоппе, Л. Г.","Гоппе, Л. Г.",962
"Гоппе, Л. Г.","Гоппе, Л. Г.",983
"Гоппе, М. Г.","Гоппе, М. Г.",917
"Гоппе, М. Г.","Гоппе, М. Г.",962
"Гоппе, М. Г.","Гоппе, М. Г.",983
"Гоппе, Э. Д.","Гоппе, Э. Д.",917
"Гоппе, Э. Д.","Гоппе, Э. Д.",962
"Гоппе, Э. Д.","Гоппе, Э. Д.",962
"Гоппе, Э. Д.","Гоппе, Э. Д.",983
"Гоппе, Э. Д.","Гоппе, Э. Д.",983
"Гоппе, Э. Д.","Гоппе, Э. Д.",1156
"Гоппе, Э. Д.","Гоппе, Э. Д.",1332
"Гоппе, Э. Д.","Гоппе, Э. Д.",1530
"Гоппе, Э. Д.","Гоппе, Э. Д.",2014
"Гоппе, Э. Д.","Гоппе, Э. Д.",2256
"Горбов, А. И.","Горбовъ, А. И.",2201
"Горбунов, В. П.","Горбуновъ, В. П.",1414
"Горбунов, И.","Горбуновъ, И.",856
"Горбунов, И.","Горбуновъ, И.",1432
"Горвиц, И. И.","Горвицъ, И. И.",844
Гордеев,"Гордеевъ,",308
"Гордеев, П.","Гордѣевъ, П.",1196
"Гордеев, П. А.","Гордѣевъ, П. А.",1532
"Гордиевский, И. Г.","Гордіевскій, И. Г.",1941
"Гордиевский, И. Т.","Гордіевскій, И. Т.",1941
"Гордиевский, П. Т.","Гордіевскій, П. Т.",1482
"Горелов, Н. Н.","Горѣловъ, Н. Н.",1125
"Горизонтов, И. И.","Горизонтовъ, И. И.",1439
"Горкуша, Н. С.","Горкуша, Н. С.",2498
"Горский — Платонов, П.","Горскій — Платоновъ, П.",2164
"Горчаков, А.","Горчаковъ, А.",1552
"Горюшкин, И. К.","Горюшкинъ, И. К.",2547
"Готье, купец","Готье, купецъ",124
"Гошкевич, В. И.","Гошкевичъ, В. И.",2992
"Градовский, Г. К.","Градовскій, Г. К.",1106
"Градовский, Г. К.","Градовскій, Г. К.",1262
"Граевский, Н. В.","Граевскій, Н. В.",452
"Грацианский, В. И.","Граціанскій, В. И.",1208
"Гребенщиков, В.","Гребенщиковъ, В.",1567
"Греве, А. А.","Греве, А. А.",1668
"Греве, А. А.","Греве, А. А.",1933
"Грелль, А.","Грелль, А.",687
"Грелль, А.","Грелль, А.",807
"Грен, А. Н.","Гренъ, А. Н.",1886
"Грен, А. Н.","Гренъ, А. Н.",2551
"Грен, А. Н.","Гренъ, А. Н.",2635
"Грен, А. Н.","Гренъ, А. Н.",2669
"Греч, Н. И.","Гречъ, Н. И.",166
"Греч, Н. И.","Гречъ, Н. И.",183
"Греч, Н. И.","Гречъ, Н. И.",192
"Греч, Н. И.","Гречъ, Н. И.",206
"Греч, Н. И.","Гречъ, Н. И.",275
"Греч, Н. И.","Гречъ, Н. И.",291
"Греч, Н. И.","Гречъ, Н. И.",292
"Греч, Н. И.","Гречъ, Н. И.",312
"Греч, Н. И.","Гречъ, Н. И.",349
"Греч, Н. И.","Гречъ, Н. И.",379
"Греч, Н. И.","Гречъ, Н. И.",447
"Гречулевич, Вас. В.","Гречулевичъ, Вас. В.",667
"Гречулевич, Вас. В.","Гречулевичъ, Вас. В.",769
"Гречулевич, Вл.","Гречулевичъ, Вл.",769
"Гречулевич, Вл.","Гречулевичъ, Вл.",1133
"Гржимало, Б.","Гржимало, Б.",638
"Гржимало, Б. И.","Гржимало, Б. И.",684
"Григорий, архиеп.","Григорій, архіеп.",526
"Григорович, А.","Григоровичъ, А.",553
"Григорович, А.","Григоровичъ, А.",676
"Григорович, В. И.","Григоровичъ, В. И.",279
"Григорьев, А.","Григорьевъ, А.",625
"Григорьев, А. А.","Григорьевъ, А. А.",532
"Григорьев, А. А.","Григорьевъ, А. А.",569
"Григорьев, А. А.","Григорьевъ, А. А.",772
"Григорьев, А. А.","Григорьевъ, А. А.",791
"Григорьев, А. В.","Григорьевъ, А. В.",840
"Григорьев, А. П.","Григорьевъ, А. П.",2039
"Григорьев, А. П.","Григорьевъ, А. П.",2049
"Григорьев, А. Х.","Григорьевъ, А. Х.",2233
"Григорьев, В. В.","Григорьевъ, В. В.",474
"Григорьев, В. В.","Григорьевъ, В. В.",485
"Григорьев, В. В.","Григорьевъ, В. В.",803
"Григорьев, В. В.","Григорьевъ, В. В.",1005
"Григорьев, В. П.","Григорьевъ, В. П.",2200
"Григорьев, Н. Д.","Григорьевъ, Н. Д.",1826
"Григорьев, Н. И.","Григорьевъ, Н. И.",2399
"Григорьев, Я. И.","Григорьевъ, Я. И.",565
"Григорьева-Сидорова, С. А.","Григорьева-Сидорова, С. А.",2650
"Гриднин, Ф.","Гриднинъ, Ѳ.",1628
"Гриднин, Ф. Д.","Гриднинъ, Ѳ. Д.",1778
"Гримм, О. А.","Гриммъ, О. А.",1804
"Гринберг, Н. П.","Гринбергъ, Н. П.",2589
"Грингмут, В. А.","Грингмутъ, В. А.",6
"Гриневский, Д. П.","Гриневскій, Д. П.",2833
"Гринцевич, И. О.","Гринцевичъ, И. О.",690
"Гриппенберг, А. Э.","Гриппенбергъ, А. Э.",1085
"Гроздов, проф.","Гроздовъ, проф.",169
"Громека, С.","Громека, С.",649
"Громов, С. А.","Громовъ, С. А.",1647
"Гроссуль-Толстой, П.","Гроссуль-Толстой, П.",1002
"Грот, Н. Я.","Гротъ, Н. Я.",2028
"Грот, Н. Я.","Гротъ, Н. Я.",2028
"Гротгус, А. К.","Гротгусъ, А. К.",2735
"Грошопф, В. Г.","Грошопфъ, В. Г.",2537
"Грошопф, О. Н.","Грошопфъ, О. Н.",2537
"Груздев, С.","Груздевъ, С.",2040
"Груздев, С. С.","Груздевъ, С. С.",2058
"Груздев, Ф. С.","Груздевъ, Ф. С.",1841
"Грузенберг, С. О.","Грузенбергъ, С. О.",2789
"Грузенберг, С. О.","Грузенбергъ, С. О.",2843
"Грузов, А.","Грузовъ, А.",1931
"Грум-Гржимайло, К. И.","Грумъ-Гржимайло, К. И.",340
"Грум-Гржимайло, К. И.","Грумъ-Гржимайло, К. И.",367
"Грушка, Н. А.","Грушка, Н. А.",2403
"Грюнталь, И. К.","Грюнталь, И. К.",2659
"Губер, Э. И.","Губеръ, Э. И.",349
"Губерт, В. О.","Губертъ, В. О.",2636
"Гугел, Е.","Гугелъ, Е.",346
"Гудвилович, Е. К.","Гудвиловичъ, Е. К.",1238
"Гудвилович, К. П.","Гудвиловичъ, К. П.",1127
"Гудим, А.","Гудимъ, А.",2278
"Гукасов, П. О.","Гукасовъ, П. О.",2749
"Гулевич, В. В.","Гулевичъ, В. В.",1350
"Гулевич, В. В.","Гулевичъ, В. В.",1350
"Гулиев, М. Г.","Гуліевъ, М. Г.",2420
"Гулишамбаров, С.","Гулишамбаровъ, С.",1229
"Гуляев, А.","Гуляевъ, А.",2284
"Гумилевский, А., свящ.","Гумилевскій, А., свящ.",724
"Гурвич, Н. А.","Гурвичъ, Н. А.",1363
"Гуревич, Л. Г.","Гуревичъ, Л. Г.",2878
"Гуревич, Л. Я.","Гуревичъ, Л. Я.",1776
