modern_name,old_name_sep,id
"Анненков, Н. И.","Анненковъ, Н. И.",685
"Анненков, Н. И.","Анненковъ, Н. И.",760
"Анненский, Н.","Анненскій, Н.",1739
"Аннов, В. М.","Анновъ, В. М.",1388
"Анреп, В.","Анрепъ, В.",1487
"Антонов, Е.","Антоновъ, Е.",2224
"Антонович, А. Я.","Антоновичъ, А. Я.",1886
"Антонович, В. М.","Антоновичъ, В. М.",1886
"Антоновский, М. И.","Антоновскій, М. И.",81
"Антушевич, И. А.","Антушевичъ, И. А.",2285
"Анучин, Д. Н.","Анучинъ, Д. Н.",837
"Анучин, Д. Н.","Анучинъ, Д. Н.",2226
"Анучин, Д. Н.","Анучинъ, Д. Н.",2330
"Анучин, Е. Н.","Анучинъ, Е. Н.",908
"Анучин, П. Н.","Анучинъ, П. Н.",1835
"Аппельрот, В.","Аппельротъ, В.",2149
"Априков, П. Н.","Априковъ, П. Н.",2508
"Арабажин, К. И.","Арабажинъ, К. И.",2779
"Арапетов, И. П.","Арапетовъ, И. П.",474
"Арапов, П. А.","Араповъ, П. А.",2596
"Арепьев, Н. Ф.","Арепьевъ, Н. Ѳ.",2449
"Аристов, А. И.","Аристовъ, А. И.",1252
"Аркадиева, Ю. А.","Аркадіева, Ю. А.",1427
"Армфельд, А. А.","Армфельдъ, А. А.",444
"Армфельд, А. А.","Армфельдъ, А. А.",1348
"Армшстед, Ж. А.","Армшстедъ, Ж. А.",2470
"Арнгольд, Э. Е.","Арнгольдъ, Э. Е.",818
"Арнгольд, Э. Е.","Арнгольдъ, Э. Е.",2623
"Арнольд, Е. Г.","Арнольдъ, Е. Г.",831
"Арнольд, М.","Арнольдъ, М.",304
"Арнольди, К. П.","Арнольди, К. П.",1550
"Арнольдов, М. В.","Арнольдовъ, М. В.",882
"Арнольдъ, Ф.","Арнольдъ, Ѳ.",522
Арсеньев,Арсеньевъ,312
"Арсеньев, А.","Арсеньевъ, А.",1121
"Арсеньев, А. В.","Арсеньевъ, А. В.",1657
"Арсеньев, И.","Арсеньевъ, И.",1048
"Арсеньев, И. А.","Арсеньевъ, И. А.",763
"Арсеньев, И. А.","Арсеньевъ, И. А.",812
"Арсеньев, И. А.","Арсеньевъ, И. А.",919
"Арсеньев, Н. Ф.","Арсеньевъ, Н. Ѳ.",2373
Артемьев,Артемьевъ,324
"Артемьев, А.","Артемьевъ, А.",908
"Артемьев, П. А.","Артемьевъ, П. А.",2751
"Артоболевский, А. Н.","Артоболевскій, А. Н.",897
"Артоболевский, А. Н.","Артоболевскій, А. Н.",924
"Артюнов, С. Х.","Артюновъ, С. Х.",2128
"Архангельский, А.","Архангельскій, А.",1324
"Архангельский, В. В.","Архангельскій, В. В.",2496
"Архангельский, Г. И.","Архангельскій, Г. И.",829
"Архангельский, Г. И.","Архангельскій, Г. И.",1058
"Архангельский, Г. И.","Архангельскій, Г. И.",1131
"Архангельский, П.","Архангельскій, П.",788
Архипов,"Архиповъ,",868
"Арычкин, Н. С.","Арычкинъ, Н. С.",2596
"Аскарханов, Н. С.","Аскархановъ, Н. С.",2489
"Аскарханов, Н. С.","Аскархановъ, Н. С.",2544
"Аскоченский, В. И.","Аскоченскій, В. И.",568
"Аспегрен, Борис","Аспегренъ, Борисъ",1317
"Астафьев, А. А.","Астафьевъ, А. А.",1437
"Астафьев, А. А.","Астафьевъ, А. А.",1923
"Атрешков, Наркиз","Атрѣшковъ, Наркизъ",342
"Ауэрбах, И.","Ауэрбахъ, И.",516
"Афанасьев-Чужбинский, А. С.","Афанасьевъ-Чужбинскій, А. С.",606
"Афанасьев-Чужбинский, А. С.","Афанасьевъ-Чужбинскій, А. С.",805
"Афанасьев-Чужбинский, А. С.","Афанасьевъ-Чужбинскій, А. С.",812
"Афанасьев-Чужбинский, А. С.","Афанасьевъ-Чужбинскій, А. С.",1085
"Афанасьев-Чужбинский, А. С.","Афанасьевъ-Чужбинскій, А. С.",1152
"Афанасьев, А. Г.","Афанасьевъ, А. Г.",458
"Афанасьев, А. Н.","Афанасьевъ, А. Н.",564
"Афанасьев, А. С.","Афанасьевъ, А. С.",917
"Афанасьев, М. И.","Афанасьевъ, М. И.",1758
"Афанасьев, М. И.","Афанасьевъ, М. И.",2519
"Афанасьев, М. И.","Афанасьевъ, М. И.",2682
"Афанасьев, П. А.","Афанасьевъ, П. А.",2770
"Ахматова, Е. Н.","Ахматова, Е. Н.",536
"Ахматова, Е. Н.","Ахматова, Е. Н.",800
"Ахматова, Е. Н.","Ахматова, Е. Н.",925
"Ахшарумов, Н. Д.","Ахшарумовъ, Н. Д.",846
"Аших, В.","Ашихъ, В.",856
"Бабенышев, А. И.","Бабенышевъ, А. И.",1646
"Бабиков, А. Я.","Бабиковъ, А. Я.",1608
"Бабкин, П. И.","Бабкинъ, П. И.",2439
"Бабкин, П. И.","Бабкинъ, П. И.",2444
"Бабст, И. К.","Бабстъ, И. К.",567
"Бабст, И. К.","Бабстъ, И. К.",634
"Багашев, И. В.","Багашевъ, И. В.",2542
"Бадмаев, П. А.","Бадмаевъ, П. А.",2483
"Бажанов, В.","Бажановъ, В.",769
"Бажанов, В. В.","Бажановъ, В. В.",816
"Баженов, А. Н.","Баженовъ, А. Н.",820
"Баженов, А. Н.","Баженовъ, А. Н.",867
"Баженов, И. А.","Баженовъ, И. А.",2877
"Бажина, Ек. Никит.","Бажина, Ек. Никит.",1394
"Базаров, А. И.","Базаровъ, А. И.",2054
"Базунов, А. Ф.","Базуновъ, А. Ѳ.",1218
"Баймаковъ, Ф. П.","Баймаковъ, Ѳ. П.",3
"Баймаковъ, Ф. П.","Баймаковъ, Ѳ. П.",1197
"Баккаревич, М. Н.","Баккаревичъ, М. Н.",139
"Бакмейстер, Г.","Бакмейстеръ, Г.",14
"Бакмейстер, Г.","Бакмейстеръ, Г.",77
"Бакрадзе, Д. З.","Бакрадзе, Д. З.",1555
"Балабанов, М.","Балабановъ, М.",2390
"Балабанов, М. И.","Балабановъ, М. И.",1212
"Балабанов, М. И.","Балабановъ, М. И.",2029
"Балабанов, М. И.","Балабановъ, М. И.",2263
"Балабанов, М. С.","Балабановъ, М. С.",2765
"Балабин, И.","Балабинъ, И.",734
"Балабуха, Н. Н.","Балабуха, Н. Н.",1941
"Балабуха, Н. Н.","Балабуха, Н. Н.",1941
"Балатезич, А. Ф.","Балатезичъ, А. Ф.",615
"Балашев, В. С.","Балашевъ, В. С.",1343
"Балиньский, М.","Балиньскій, М.",530
"Барановский, А. Н.","Барановскій, А. Н.",906
"Барановский, Г. В.","Барановскій, Г. В.",2432
"Барановский, Г. В.","Барановскій, Г. В.",2522
"Барановский, Ст. Ив.","Барановскій, Ст. Ив.",1160
"Баратаев, С.","Баратаевъ, С.",2465
"Баратынский, Н. А.","Баратынскій, Н. А.",2255
"Бардарин, В. Ф.","Бардаринъ, В. Ф.",1930
"Барро, М. В.","Барро, М. В.",1608
"Барсков, Я. А.","Барсковъ, Я. А.",1465
"Барсков, Я. Л.","Барсковъ, Я. Л.",2494
"Барсов, А. А.","Барсовъ, А. А.",634
"Барсов, Е. В.","Барсовъ, Е. В.",591
"Бартенев, П. И.","Бартеневъ, П. И.",780
"Бартенев, П. И.","Бартеневъ, П. И.",780
"Бартенев, Юрий И.","Бартеневъ, Юрій И.",780
"Бартенев, Юрий И.","Бартеневъ, Юрій И.",780
"Бартошевич, Г. А.","Бартошевичъ, Г. А.",1378
Барч Генрих,"Барчъ Генрихъ,",797
"Барятинский, В. В., кн.","Барятинскій, В. В., кн.",2799
"Баскин, Я. И.","Баскинъ, Я. И.",2588
"Баснин, П. П.","Баснинъ, П. П.",2671
"Басов, С. А.","Басовъ, С. А.",2758
